t,u,v,npix
0.002,102.8780487804878,295.1219512195122,41
0.008,109.65,294.225,40
0.017,119.61904761904762,293.0952380952381,42
0.025,128.58536585365854,292.1707317073171,41
0.033,137.13888888888889,291.6111111111111,36
0.041,146.12820512820514,290.87179487179486,39
0.049,155.0,290.5,38
0.057,163.67567567567568,290.3243243243243,37
0.065,172.10256410256412,290.28205128205127,39
0.07300000000000001,180.86486486486487,290.2972972972973,37
0.081,189.22857142857143,290.57142857142856,35
0.08900000000000001,198.0,291.0,37
0.097,206.22857142857143,291.57142857142856,35
0.10500000000000001,214.86486486486487,292.2972972972973,37
0.113,223.18421052631578,293.07894736842104,38
0.12100000000000001,231.55263157894737,294.05263157894734,38
0.129,239.8421052631579,295.2105263157895,38
0.137,248.05128205128204,296.71794871794873,39
0.14500000000000002,256.28205128205127,298.1025641025641,39
0.153,264.36842105263156,299.92105263157896,38
0.161,272.42857142857144,301.77142857142854,35
0.169,280.4848484848485,303.6060606060606,33
0.17700000000000002,288.42857142857144,305.77142857142854,35
0.185,296.4594594594595,307.9189189189189,37
0.193,304.36842105263156,310.07894736842104,38
0.201,312.2105263157895,312.8421052631579,38
0.20900000000000002,319.975,315.325,40
0.21700000000000003,327.8421052631579,318.2105263157895,38
0.225,335.4594594594595,321.0810810810811,37
0.233,343.05128205128204,324.28205128205127,39
0.24100000000000002,350.57142857142856,327.77142857142854,35
0.24900000000000003,358.12820512820514,331.12820512820514,39
0.257,365.57142857142856,334.77142857142854,35
0.265,373.07894736842104,338.36842105263156,38
0.273,380.2972972972973,342.13513513513516,37
0.281,387.71794871794873,346.1025641025641,39
0.28900000000000003,395.57575757575756,346.57575757575756,33
0.29700000000000004,404.1578947368421,343.2105263157895,38
0.305,412.6842105263158,340.1842105263158,38
0.313,421.0810810810811,337.4594594594595,37
0.321,429.5405405405405,334.9189189189189,37
0.329,438.0,332.4102564102564,39
0.337,446.2105263157895,330.10526315789474,38
0.34500000000000003,454.7894736842105,327.89473684210526,38
0.35300000000000004,462.95,325.825,40
0.36100000000000004,471.15384615384613,324.0,39
0.36900000000000005,479.2,322.075,40
0.377,487.7567567567568,320.81081081081084,37
0.385,495.85714285714283,319.1904761904762,42
0.393,503.8333333333333,318.04761904761904,42
0.401,511.95,316.925,40
0.40900000000000003,520.0,316.0,41
0.41700000000000004,527.975,315.325,40
0.42500000000000004,536.025,314.675,40
0.43300000000000005,543.8837209302326,314.1162790697674,43
0.441,551.952380952381,313.92857142857144,42
0.449,559.6666666666666,313.7857142857143,42
0.457,567.4418604651163,313.72093023255815,43
0.465,575.3636363636364,313.75,44
0.47300000000000003,583.1219512195122,314.0243902439024,41
0.48100000000000004,590.6,314.1777777777778,45
0.48900000000000005,598.4222222222222,314.9555555555556,45
0.49700000000000005,606.2790697674419,315.72093023255815,43
