condition,method,mean_cm,std_cm,seeds
v45_flat,M0,1.884,0.714,30
v45_flat,M1,2.743,1.748,30
v45_flat,M_huber,1.353,0.763,30
v45_flat,M_gate,1.225,0.732,30
v45_flat,M3_conf,1.245,0.688,30
v45_flat,M3_oracle,1.080,0.442,30
v45_flat,M1_minus_M3conf,1.498,1.720,30
v45_flat,Mhuber_minus_M3conf,0.108,0.912,30
v45_top200,M0,2.454,1.427,30
v45_top200,M1,2.514,1.818,30
v45_top200,M_huber,1.664,1.047,30
v45_top200,M_gate,1.627,0.932,30
v45_top200,M3_conf,1.385,0.667,30
v45_top200,M3_oracle,1.273,0.745,30
v45_top200,M1_minus_M3conf,1.129,1.758,30
v45_top200,Mhuber_minus_M3conf,0.279,0.951,30
v45_top400,M0,3.394,1.459,30
v45_top400,M1,2.921,1.391,30
v45_top400,M_huber,1.710,1.060,30
v45_top400,M_gate,1.388,0.618,30
v45_top400,M3_conf,1.245,0.488,30
v45_top400,M3_oracle,1.180,0.535,30
v45_top400,M1_minus_M3conf,1.676,1.381,30
v45_top400,Mhuber_minus_M3conf,0.464,1.013,30
v60_flat,M0,2.381,1.049,30
v60_flat,M1,3.405,2.322,30
v60_flat,M_huber,1.645,0.971,30
v60_flat,M_gate,1.522,1.051,30
v60_flat,M3_conf,1.504,0.817,30
v60_flat,M3_oracle,1.309,0.584,30
v60_flat,M1_minus_M3conf,1.901,2.299,30
v60_flat,Mhuber_minus_M3conf,0.140,1.104,30
v60_top200,M0,3.364,1.961,30
v60_top200,M1,4.319,3.206,30
v60_top200,M_huber,2.176,1.176,30
v60_top200,M_gate,2.063,1.342,30
v60_top200,M3_conf,1.869,1.032,30
v60_top200,M3_oracle,1.640,0.817,30
v60_top200,M1_minus_M3conf,2.450,3.107,30
v60_top200,Mhuber_minus_M3conf,0.307,1.092,30
v60_top400,M0,6.012,2.599,30
v60_top400,M1,3.907,2.340,30
v60_top400,M_huber,1.732,1.023,30
v60_top400,M_gate,1.474,0.909,30
v60_top400,M3_conf,1.584,0.880,30
v60_top400,M3_oracle,1.321,0.841,30
v60_top400,M1_minus_M3conf,2.323,2.542,30
v60_top400,Mhuber_minus_M3conf,0.149,1.096,30
v60_back200,M0,5.418,1.769,30
v60_back200,M1,3.114,2.040,30
v60_back200,M_huber,1.898,0.873,30
v60_back200,M_gate,1.601,0.948,30
v60_back200,M3_conf,1.749,0.895,30
v60_back200,M3_oracle,1.501,0.875,30
v60_back200,M1_minus_M3conf,1.365,2.482,30
v60_back200,Mhuber_minus_M3conf,0.149,0.948,30
v70_top400,M0,6.726,3.034,30
v70_top400,M1,3.959,2.326,30
v70_top400,M_huber,1.754,1.030,30
v70_top400,M_gate,1.508,0.938,30
v70_top400,M3_conf,1.597,0.925,30
v70_top400,M3_oracle,1.335,0.880,30
v70_top400,M1_minus_M3conf,2.362,2.550,30
v70_top400,Mhuber_minus_M3conf,0.157,1.094,30
v60_mixed,M0,4.993,2.279,30
v60_mixed,M1,3.362,1.949,30
v60_mixed,M_huber,1.921,0.914,30
v60_mixed,M_gate,1.555,0.790,30
v60_mixed,M3_conf,1.685,0.965,30
v60_mixed,M3_oracle,1.460,0.752,30
v60_mixed,M1_minus_M3conf,1.676,1.949,30
v60_mixed,Mhuber_minus_M3conf,0.236,0.839,30
